template,send_date,send_time,campaign,subject,preheader,promo_line,eyebrow,headline_1,headline_2,subhead,intro,cta_text,cta_url,secondary_text,secondary_url,hero_image,detail_image,detail_title,detail_body,section_label,section_count,point_1_title,point_1_body,point_2_title,point_2_body,point_3_title,point_3_body,swatches,band_1,band_2,band_3,product_1_image,product_1_title,product_1_price,product_1_url,product_1_note,product_2_image,product_2_title,product_2_price,product_2_url,product_2_note,product_3_image,product_3_title,product_3_price,product_3_url,product_3_note,product_4_image,product_4_title,product_4_price,product_4_url,product_4_note,product_5_image,product_5_title,product_5_price,product_5_url,product_5_note,product_6_image,product_6_title,product_6_price,product_6_url,product_6_note,product_7_image,product_7_title,product_7_price,product_7_url,product_7_note,product_8_image,product_8_title,product_8_price,product_8_url,product_8_note,product_9_image,product_9_title,product_9_price,product_9_url,product_9_note,product_1_badge,product_2_badge
Split Story,2026-09-01,10:00,Summer Edit,Last call on the summer edit,Three things worth knowing before the sandals go away.,Free Shipping on All Orders Over $150 — US & Worldwide,Season Change,"The Summer Edit,",Closing.,,"Sandals and open toes are going back into storage. Before they do, here is what the last three months taught us about what actually got worn.",Shop What's Left,https://burjushoes.com/collections/all-shoes,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Starlette-peep-toe-heeled-sandal-burgundy-1_f836b3c9-c6a7-47e9-9b7b-a73f733be4b3.jpg?v=1753756636,,,,Still Available,04 styles,Height was not the problem,The 4 inch styles outsold the 3.5s all summer. Height was never what people were avoiding.,Straps beat slides,Anything that fastened at the ankle got worn twice as often as anything that did not.,"Nude is a range, not a colour","Shades three and six moved fastest, which tells you the middle of the range is where most feet sit.",,,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Starlette-peep-toe-heeled-sandal-burgundy-1_f836b3c9-c6a7-47e9-9b7b-a73f733be4b3.jpg?v=1753756636,Starlette — Burgundy Vegan Patent,$149.00,https://burjushoes.com/products/starlette-burgundy-vegan-patent-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/skylar-open-toe-strappy-heeled-sandal-burgundy-1.jpg?v=1769403825,Skylar — Burgundy Vegan Patent,$169.00,https://burjushoes.com/products/skylar-burgundy-vegan-patent-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/sybil-red-patent-classic-pump-1__51093.jpg?v=1749155898,Sybil — Red Vegan Leather,$89.40,https://burjushoes.com/products/sybil-red-vegan-leather-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Rene-strappy-open-toe-ankle-boot-burgundy-1.jpg?v=1769467218,Rene — Burgundy Vegan Patent,$159.00,https://burjushoes.com/products/rene-burgundy-vegan-patent-street-sole,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign Chapter,2026-09-02,10:00,Back to Work,The shoes that survive a nine-hour day,Chapter one: what you wear when the day is long and the floor is hard.,Free Shipping on All Orders Over $150 — US & Worldwide,Back To… · Chapter One,Back to,Work.,Desk to dinner without a second pair,"September starts with the longest days of the year — not in daylight, in hours on your feet. This chapter is the block heels, the closed toes and the pairs that look composed at 6pm because they were built to.",Shop the Edit,https://burjushoes.com/collections/best-sellers,In the Edit,https://burjushoes.com/collections/best-sellers,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Adira-matte-black-pump-1__16973.jpg?v=1716813764,,,,Chapter One,06,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Adira-matte-black-pump-1__16973.jpg?v=1716813764,Adira — Black Vegan Leather,$149.00,https://burjushoes.com/products/adira-black-vegan-leather-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/sybil-black-patent-classic-pump-1__94923_ff1082f5-fcd0-4282-976a-050012aceb12.jpg?v=1749155897,Sybil — Black Vegan Leather,$89.40,https://burjushoes.com/products/sybil-black-vegan-leather-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/dafne-black-loafer-pump-1__89406_03201c37-b4c5-4eda-920f-eeb581944229.jpg?v=1710883521,Dafne — Black Vegan Leather,$95.40,https://burjushoes.com/products/dafne-black-vegan-leather-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Khadija-black-vegan-pointed-toe-boot-1__39792.jpg?v=1749155843,Khadija — Black Vegan Suede,$107.40,https://burjushoes.com/products/khadija-black-vegan-suede,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Adira-nude-shade-three-pump-1_037a4e07-f6aa-4b20-a8c6-15c75bb0d730.jpg?v=1716813752,Adira Nude — Truly Nude Shade Three,$149.00,https://burjushoes.com/products/adiranude-truly-nude-shade-three-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/sybil-leopard-classic-pump-1.jpg?v=1749155898,Sybil — Tan Leopard,$89.40,https://burjushoes.com/products/sybil-tan-leopard-street-sole,,,,,,,,,,,,,,,,,,
Hero Editorial,2026-09-04,10:00,Sierra,Sierra: the 4.2 that keeps getting reordered,"One style, three colourways, and the reason it never leaves the best-seller list.",Free Shipping on All Orders Over $150 — US & Worldwide,Style Spotlight,Sierra Does,Not Move.,4.2 inch · Mesh upper · Street sole,"Most boots this height ask you to choose between staying upright and looking like you meant it. Sierra's mesh upper holds the foot where a leather one would slide, which is why it comes back in every colour we make it in.",Shop Sierra,https://burjushoes.com/collections/best-sellers,See all colourways,https://burjushoes.com/collections/best-sellers,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Sierra-4.2-mesh-boot-black-1.jpg?v=1762283301,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Sierra-silver-lace-up-ankle-boot-1_e16d7338-d1ad-47ee-be2c-a372b1e26e37.jpg?v=1762444206,Why It Holds Up,"A 4.2 inch heel on a street sole, with the mesh cut on the bias so it gives across the instep and not along the length. Broken in within a wear; sized true, with room at the toe box for a wide foot.",The Colourways,03 styles,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Sierra-4.2-mesh-boot-black-1.jpg?v=1762283301,Sierra — Black Vegan Leather,$179.00,https://burjushoes.com/products/sierra-black-vegan-leather-street-sole,Black Vegan Leather,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Sierra-silver-lace-up-ankle-boot-1_e16d7338-d1ad-47ee-be2c-a372b1e26e37.jpg?v=1762444206,Sierra — Silver Vegan Leather,$179.00,https://burjushoes.com/products/sierra-silver-vegan-leather-street-sole,Silver Vegan Leather,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Sierralynn-black-suede-lace-up-bootie-1_e6990d06-3227-46ce-a7cd-4683fc2d71ff.jpg?v=1713711139,Sierralynn — Black Vegan Suede,$179.00,https://burjushoes.com/products/sierralynn-black-vegan-suede-street-sole,Black Vegan Suede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranked List,2026-09-07,10:00,Fall Top Sellers,The five that never leave,"Ranked by what actually reorders, not by what we like.",Free Shipping on All Orders Over $150 — US & Worldwide,September Ranking,The Five That,Never Leave.,"Ranked by reorder rate, not opinion",,Shop Best Sellers,https://burjushoes.com/collections/best-sellers,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Sierra-4.2-mesh-boot-black-1.jpg?v=1762283301,Sierra — Black Vegan Leather,$179.00,https://burjushoes.com/products/sierra-black-vegan-leather-street-sole,First on the list three seasons running. The mesh upper is why.,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Sierralynn-black-suede-lace-up-bootie-1_e6990d06-3227-46ce-a7cd-4683fc2d71ff.jpg?v=1713711139,Sierralynn — Black Vegan Suede,$179.00,https://burjushoes.com/products/sierralynn-black-vegan-suede-street-sole,The suede sole version outsells the street sole two to one.,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Shabina-black-sock-ankle-boot-1__51849_76fe3416-a3c9-43ef-9032-c5dc8260101a.jpg?v=1718130136,Shabina — Black Lycra,$179.00,https://burjushoes.com/products/shabina-black-lycra-street-sole,The only pair on this list with no zip. That is the whole appeal.,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Jezabel-black-net-lace-up-bootie-1_d9328a33-7695-4d7e-b17c-ae8e43b196cb.jpg?v=1713449408,Jezabel — Black Vegan Leather,$179.00,https://burjushoes.com/products/jezabel-black-vegan-leather-street-sole,"Net upper, lace-up front. The pair people buy after their first class.",https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Xiomara-black-mesh-ankle-bootie-1__56362_569ba94b-f51a-42c6-9448-ab6936c84dee.jpg?v=1776302499,Xiomara — Black Vegan Leather,$179.00,https://burjushoes.com/products/xiomara-black-vegan-leather-street-sole,"Consistently top five, never number one. A quiet workhorse.",https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Tempest-black-mesh-ankle-boot-1_aa807d46-d3b4-4a66-82d5-7abbdd74830a.jpg?v=1718130358,Tempest — Black Vegan Leather,$179.00,https://burjushoes.com/products/tempest-black-vegan-leather-street-sole,Rounds out the list every autumn without fail.,,,,,,,,,,,,,,,,,
Category Lookbook,2026-09-08,10:00,New Ankle Boots,"Five new ankle boots, one new last","The autumn booties, and what changed inside them.",Free Shipping on All Orders Over $150 — US & Worldwide,The Category,New Ankle,Boots.,,"Ankle boots are the hardest thing we make: the shaft has to hold without cutting, on an ankle that is never the same shape twice. This season's are built on a revised last.",Shop Ankle Boots,https://burjushoes.com/collections/ankle-boots,,,,,,,Every Colourway,06 styles,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Koda-mesh-cut-out-ankle-boot-black-1.jpg?v=1776302552,Koda — Black Vegan Leather,$179.00,https://burjushoes.com/products/koda-black-vegan-leather-street-sole,"Mesh cut-out upper with a closed back, so the boot holds while the foot breathes.",https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Nyx-strappy-buckle-ankle-bootie-black-1.jpg?v=1776302623,Nyx — Black Vegan Leather,$179.00,https://burjushoes.com/products/nyx-black-vegan-leather-street-sole,"Strappy buckle front. The most adjustable boot on the list, by some distance.",https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Jett-sporty-open-toe-ankle-bootie-black-1.jpg?v=1753801481,Jett — Black Vegan Leather,$179.00,https://burjushoes.com/products/jett-black-vegan-leather-street-sole,"Sporty, open-toe, and the one that gets worn on a Tuesday.",https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Lowen-open-toe-ankle-boot-black-1.jpg?v=1753803736,Lowen — Black Vegan Leather,$179.00,https://burjushoes.com/products/lowen-black-vegan-leather-street-sole,Open toe,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Cora-mesh-open-toe-ankle-bootie-black-1.jpg?v=1753801978,Cora — Black Vegan Leather,$179.00,https://burjushoes.com/products/cora-black-vegan-leather-street-sole,Mesh open toe,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Bett-sporty-mesh-ankle-bootie-black-1.jpg?v=1754070404,Bett — Black Vegan Leather,$179.00,https://burjushoes.com/products/bett-black-vegan-leather-street-sole,Sporty mesh,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Koda-mesh-cut-cout-ankle-boot-tan-1.jpg?v=1753802431,Koda — Truly Nude Shade Six,$179.00,https://burjushoes.com/products/koda-truly-nude-shade-six-street-sole,Truly Nude Six,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Nyx-strappy-buckle-open-toe-ankle-boot-1.jpg?v=1776302623,Nyx — Truly Nude Shade One,$179.00,https://burjushoes.com/products/nyx-truly-nude-shade-one-street-sole,Truly Nude One,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Jett-open-toe-sporty-ankle-bootie-burgundy-1.jpg?v=1753801271,Jett — Burgundy Vegan Suede,$179.00,https://burjushoes.com/products/jett-burgundy-vegan-suede-street-sole,Burgundy suede,New Last,Most Adjustable
Campaign Chapter,2026-09-09,10:00,Back to Life,Chapter two: the pair you actually go out in,Work is handled. This one is for everything after it.,Free Shipping on All Orders Over $150 — US & Worldwide,Back To… · Chapter Two,Back to,Life.,For the part of the evening nobody scheduled,"The last chapter ended at the office door. This one starts there. Straps that hold through a night out, mesh that breathes, and heights that still let you get to the train.",Shop the Edit,https://burjushoes.com/collections/new-arrivals,In the Edit,https://burjushoes.com/collections/new-arrivals,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Nyx-strappy-buckle-ankle-bootie-black-1.jpg?v=1776302623,,,,Chapter Two,06,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Nyx-strappy-buckle-ankle-bootie-black-1.jpg?v=1776302623,Nyx — Black Vegan Leather,$179.00,https://burjushoes.com/products/nyx-black-vegan-leather-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Jett-sporty-open-toe-ankle-bootie-black-1.jpg?v=1753801481,Jett — Black Vegan Leather,$179.00,https://burjushoes.com/products/jett-black-vegan-leather-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Cora-mesh-open-toe-ankle-bootie-black-1.jpg?v=1753801978,Cora — Black Vegan Leather,$179.00,https://burjushoes.com/products/cora-black-vegan-leather-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Lowen-open-toe-ankle-boot-black-1.jpg?v=1753803736,Lowen — Black Vegan Leather,$179.00,https://burjushoes.com/products/lowen-black-vegan-leather-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Bett-sporty-mesh-ankle-bootie-black-1.jpg?v=1754070404,Bett — Black Vegan Leather,$179.00,https://burjushoes.com/products/bett-black-vegan-leather-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/IMG_7259.jpg?v=1716813796,Karma — Black with Black Straps,$179.00,https://burjushoes.com/products/karma-black-with-black-straps-street-sole,,,,,,,,,,,,,,,,,,
Split Story,2026-09-10,10:00,Truly Nude™,Nude is not one colour,"Eight shades, because a nude shoe only works if it matches the wearer.",Free Shipping on All Orders Over $150 — US & Worldwide,Truly Nude™,Nude Is Not,One Colour.,,A nude shoe is supposed to disappear against the leg. For most of the industry's history it only did that for a narrow slice of people. Eight shades is the fix.,Find Your Shade,https://burjushoes.com/collections/best-sellers,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Adira-nude-shade-six-pump-1_65fbf706-5877-48d0-bd03-0e88dc986543.jpg?v=1716813758,,,,In Every Shade,04 styles,"Match the leg, not the foot",Hold the shade against your calf in daylight — the leg is what the shoe has to continue.,"Between two shades, go deeper",A shade slightly darker than the leg reads as a shadow. A lighter one reads as a sock.,The line matters more than the colour,An unbroken line from calf to toe is what lengthens the leg. The shade only has to not interrupt it.,"#f4dcc8, #e3bfa1, #c9a083, #a67b5b, #7a5238, #4d3321, #2f1e13, #1a0f08",,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Adira-nude-shade-three-pump-1_037a4e07-f6aa-4b20-a8c6-15c75bb0d730.jpg?v=1716813752,Adira Nude — Truly Nude Shade Three,$149.00,https://burjushoes.com/products/adiranude-truly-nude-shade-three-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Adira-nude-shade-six-pump-1_65fbf706-5877-48d0-bd03-0e88dc986543.jpg?v=1716813758,Adira Nude — Truly Nude Shade Six,$149.00,https://burjushoes.com/products/adiranude-truly-nude-shade-six-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Nyx-strappy-buckle-open-toe-ankle-boot-1.jpg?v=1776302623,Nyx — Truly Nude Shade One,$179.00,https://burjushoes.com/products/nyx-truly-nude-shade-one-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Nyx-strappy-buckle-ankle-bootie-brown-1.jpg?v=1753804441,Nyx — Truly Nude Shade Eight,$179.00,https://burjushoes.com/products/nyx-truly-nude-shade-eight-street-sole,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split Story,2026-09-11,10:00,Guide: Heels Dance,What to wear to your first heels class,"Sole, height and fit — in that order.",Free Shipping on All Orders Over $150 — US & Worldwide,The Guide,Your First,Heels Class.,,"The most common mistake is buying for the mirror instead of the floor. Three things decide whether you get through an hour of class, and only one of them is height.",Shop Beginner Styles,https://burjushoes.com/collections/beginners-guide-to-heels-dance,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Sierralynn-black-suede-lace-up-bootie-1_e6990d06-3227-46ce-a7cd-4683fc2d71ff.jpg?v=1713711139,,,,Where to Start,04 styles,Sole first,"Suede for a sprung studio floor, street for anywhere you also have to walk. Getting this wrong is what makes people quit.",Height second,Start at 3.5 or 4 inches. You can move up a class or two later; you cannot un-sprain an ankle.,"Fit last, and snug","A dance shoe should feel closer than a street shoe. Movement inside the shoe is what causes blisters, not the heel.",,,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Sierralynn-black-suede-lace-up-bootie-1_e6990d06-3227-46ce-a7cd-4683fc2d71ff.jpg?v=1713711139,Sierralynn — Black Vegan Suede,$179.00,https://burjushoes.com/products/sierralynn-black-vegan-suede-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Shabina-black-sock-ankle-boot-1__51849_76fe3416-a3c9-43ef-9032-c5dc8260101a.jpg?v=1718130136,Shabina — Black Lycra,$179.00,https://burjushoes.com/products/shabina-black-lycra-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Adira-matte-black-pump-1__16973.jpg?v=1716813764,Adira — Black Vegan Leather,$149.00,https://burjushoes.com/products/adira-black-vegan-leather-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Xiomara-black-mesh-ankle-bootie-1__56362_569ba94b-f51a-42c6-9448-ab6936c84dee.jpg?v=1776302499,Xiomara — Black Vegan Leather,$179.00,https://burjushoes.com/products/xiomara-black-vegan-leather-street-sole,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palette Block,2026-09-14,10:00,Cool Fall Colors,"Three colours, and none of them are black","Burgundy, eggplant and teal — the fall palette in full.","The Fall Palette Is Here — Burgundy, Eggplant, Teal",The Palette,Cool Fall,Colours.,Burgundy · Eggplant · Teal,,See the Palette,https://burjushoes.com/collections/fall-faves,Shop the Palette,https://burjushoes.com/collections/fall-faves,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Adira-classic-stiletto-pump-burgundy-1.jpg?v=1772138343,,,,,,,,,,,,,"Burgundy | Four Styles | The colour the whole season turned on, and the one that sold out elsewhere in August. | #590529","Eggplant | Two Styles | Deeper than black in daylight, softer than it under a light. | #4a2647",Teal | Two Styles | The one nobody asks for and everybody notices. | #2f7a7a,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Adira-classic-stiletto-pump-burgundy-1.jpg?v=1772138343,Adira — Burgundy Vegan Patent,$149.00,https://burjushoes.com/products/adira-burgundy-vegan-patent-street-sole,Burgundy Vegan Patent,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Marley-open-toe-lace-up-ankle-boot-burgundy-1.jpg?v=1776302571,Marley — Burgundy Vegan Patent,$179.00,https://burjushoes.com/products/marley-burgundy-vegan-patent-street-sole,Burgundy Vegan Patent,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Amiri-harness-strap-open-toe-ankle-boot-burgundy-1.jpg?v=1773088470,Amiri — Burgundy Vegan Patent,$179.00,https://burjushoes.com/products/amiri-burgundy-vegan-patent-street-sole,Burgundy Vegan Patent,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Rene-strappy-open-toe-ankle-boot-burgundy-1.jpg?v=1769467218,Rene — Burgundy Vegan Patent,$159.00,https://burjushoes.com/products/rene-burgundy-vegan-patent-street-sole,Burgundy Vegan Patent,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Jett-open-toe-sporty-ankle-bootie-burgundy-1.jpg?v=1753801271,Jett — Burgundy Vegan Suede,$179.00,https://burjushoes.com/products/jett-burgundy-vegan-suede-street-sole,Burgundy Vegan Suede,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/skylar-open-toe-strappy-heeled-sandal-burgundy-1.jpg?v=1769403825,Skylar — Burgundy Vegan Patent,$169.00,https://burjushoes.com/products/skylar-burgundy-vegan-patent-street-sole,Burgundy Vegan Patent,,,,,,,,,,,,,,,,,
Palette Block,2026-09-15,10:00,New & Now,Everything that landed this month,"New arrivals, grouped by the colour they arrived in.",New Arrivals — Just Landed,New & Now,"Just Landed,",By Colour.,Black · Burgundy · Truly Nude,,Shop New Arrivals,https://burjushoes.com/collections/new-arrivals,See Everything New,https://burjushoes.com/collections/new-arrivals,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Nyx-strappy-buckle-ankle-bootie-black-1.jpg?v=1776302623,,,,,,,,,,,,,"Black | Four Styles | Where every new silhouette starts, because it is where the fit gets judged. | #111111",Burgundy | Two Styles | The new arrivals that skipped black entirely this season. | #590529,"Truly Nude | Two Styles | New silhouettes in the shade range, not just the range in old silhouettes. | #7a5238",https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Nyx-strappy-buckle-ankle-bootie-black-1.jpg?v=1776302623,Nyx — Black Vegan Leather,$179.00,https://burjushoes.com/products/nyx-black-vegan-leather-street-sole,Black Vegan Leather,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Koda-mesh-cut-out-ankle-boot-black-1.jpg?v=1776302552,Koda — Black Vegan Leather,$179.00,https://burjushoes.com/products/koda-black-vegan-leather-street-sole,Black Vegan Leather,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Jett-open-toe-sporty-ankle-bootie-burgundy-1.jpg?v=1753801271,Jett — Burgundy Vegan Suede,$179.00,https://burjushoes.com/products/jett-burgundy-vegan-suede-street-sole,Burgundy Vegan Suede,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Marley-open-toe-lace-up-ankle-boot-burgundy-1.jpg?v=1776302571,Marley — Burgundy Vegan Patent,$179.00,https://burjushoes.com/products/marley-burgundy-vegan-patent-street-sole,Burgundy Vegan Patent,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Koda-mesh-cut-cout-ankle-boot-tan-1.jpg?v=1753802431,Koda — Truly Nude Shade Six,$179.00,https://burjushoes.com/products/koda-truly-nude-shade-six-street-sole,Truly Nude Shade Six,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Nyx-strappy-buckle-open-toe-ankle-boot-1.jpg?v=1776302623,Nyx — Truly Nude Shade One,$179.00,https://burjushoes.com/products/nyx-truly-nude-shade-one-street-sole,Truly Nude Shade One,,,,,,,,,,,,,,,,,
